id,blockId,spaceNo,xpos,ypos,layout,mapId
1,1,1,1240,450,2,1
2,1,2,1240,440,2,1
3,1,3,1240,430,2,1
4,1,4,1240,400,2,1
5,1,5,1240,380,2,1
6,1,6,1240,360,2,1
7,1,7,1240,330,2,1
8,1,8,1240,320,2,1
9,1,9,1240,310,2,1
10,1,10,1240,300,2,1
11,1,11,1240,220,2,1
12,1,12,1240,210,2,1
13,1,13,1240,200,2,1
14,1,14,1240,190,2,1
15,1,15,1240,160,2,1
16,1,16,1240,140,2,1
17,1,17,1240,120,2,1
18,1,18,1240,90,2,1
19,1,19,1240,80,2,1
20,1,20,1240,70,2,1
21,1,21,1220,40,3,1
22,1,22,1210,40,3,1
23,1,23,1190,40,3,1
24,1,24,1170,40,3,1
25,1,25,1160,40,3,1
26,1,26,1140,40,3,1
27,1,27,1130,40,3,1
28,1,28,1100,30,3,1
29,1,29,1070,30,3,1
30,1,30,950,40,3,1
31,1,31,940,40,3,1
32,1,32,920,40,3,1
33,1,33,910,40,3,1
34,1,34,900,40,3,1
35,1,35,880,40,3,1
36,1,36,870,40,3,1
37,1,37,800,40,3,1
38,1,38,790,40,3,1
39,1,39,770,40,3,1
40,1,40,760,40,3,1
41,1,41,750,40,3,1
42,1,42,730,40,3,1
43,1,43,720,40,3,1
44,1,44,690,30,3,1
45,1,45,660,30,3,1
46,1,46,540,40,3,1
47,1,47,530,40,3,1
48,1,48,510,40,3,1
49,1,49,500,40,3,1
50,1,50,490,40,3,1
51,1,51,470,40,3,1
52,1,52,460,40,3,1
53,1,53,390,40,3,1
54,1,54,380,40,3,1
55,1,55,360,40,3,1
56,1,56,350,40,3,1
57,1,57,340,40,3,1
58,1,58,320,40,3,1
59,1,59,310,40,3,1
60,1,60,280,30,3,1
61,1,61,250,30,3,1
62,1,62,130,40,3,1
63,1,63,120,40,3,1
64,1,64,100,40,3,1
65,1,65,90,40,3,1
66,1,66,70,40,3,1
67,1,67,50,40,3,1
68,1,68,40,40,3,1
69,1,69,20,70,4,1
70,1,70,20,80,4,1
71,1,71,20,90,4,1
72,1,72,20,120,4,1
73,1,73,20,140,4,1
74,1,74,20,160,4,1
75,1,75,20,190,4,1
76,1,76,20,200,4,1
77,1,77,20,210,4,1
78,1,78,20,220,4,1
79,1,79,20,300,4,1
80,1,80,20,310,4,1
81,1,81,20,320,4,1
82,1,82,20,330,4,1
83,1,83,20,360,4,1
84,1,84,20,380,4,1
85,1,85,20,400,4,1
86,1,86,20,430,4,1
87,1,87,20,440,4,1
88,1,88,20,450,4,1
89,2,1,1200,440,1,1
90,2,2,1200,430,2,1
91,2,3,1200,420,2,1
92,2,4,1200,410,2,1
93,2,5,1200,400,2,1
94,2,6,1200,390,2,1
95,2,7,1200,380,3,1
96,2,8,1200,350,1,1
97,2,9,1200,340,2,1
98,2,10,1200,330,2,1
99,2,11,1200,320,2,1
100,2,12,1200,310,2,1
101,2,13,1200,300,3,1
102,2,14,1200,220,1,1
103,2,15,1200,210,2,1
104,2,16,1200,200,2,1
105,2,17,1200,190,2,1
106,2,18,1200,180,2,1
107,2,19,1200,170,3,1
108,2,20,1200,140,1,1
109,2,21,1200,130,2,1
110,2,22,1200,120,2,1
111,2,23,1200,110,2,1
112,2,24,1200,100,2,1
113,2,25,1200,90,2,1
114,2,26,1200,80,3,1
115,2,27,1190,80,3,1
116,2,28,1190,90,4,1
117,2,29,1190,100,4,1
118,2,30,1190,110,4,1
119,2,31,1190,120,4,1
120,2,32,1190,130,4,1
121,2,33,1190,140,1,1
122,2,34,1190,170,3,1
123,2,35,1190,180,4,1
124,2,36,1190,190,4,1
125,2,37,1190,200,4,1
126,2,38,1190,210,4,1
127,2,39,1190,220,1,1
128,2,40,1190,300,3,1
129,2,41,1190,310,4,1
130,2,42,1190,320,4,1
131,2,43,1190,330,4,1
132,2,44,1190,340,4,1
133,2,45,1190,350,1,1
134,2,46,1190,380,3,1
135,2,47,1190,390,4,1
136,2,48,1190,400,4,1
137,2,49,1190,410,4,1
138,2,50,1190,420,4,1
139,2,51,1190,430,4,1
140,2,52,1190,440,1,1
141,3,1,1170,440,1,1
142,3,2,1170,430,2,1
143,3,3,1170,420,2,1
144,3,4,1170,410,2,1
145,3,5,1170,400,2,1
146,3,6,1170,390,2,1
147,3,7,1170,380,3,1
148,3,8,1170,350,1,1
149,3,9,1170,340,2,1
150,3,10,1170,330,2,1
151,3,11,1170,320,2,1
152,3,12,1170,310,2,1
153,3,13,1170,300,2,1
154,3,14,1170,290,2,1
155,3,15,1170,280,3,1
156,3,16,1170,240,1,1
157,3,17,1170,230,2,1
158,3,18,1170,220,2,1
159,3,19,1170,210,2,1
160,3,20,1170,200,2,1
161,3,21,1170,190,2,1
162,3,22,1170,180,2,1
163,3,23,1170,170,3,1
164,3,24,1170,140,1,1
165,3,25,1170,130,2,1
166,3,26,1170,120,2,1
167,3,27,1170,110,2,1
168,3,28,1170,100,2,1
169,3,29,1170,90,2,1
170,3,30,1170,80,3,1
171,3,31,1160,80,3,1
172,3,32,1160,90,4,1
173,3,33,1160,100,4,1
174,3,34,1160,110,4,1
175,3,35,1160,120,4,1
176,3,36,1160,130,4,1
177,3,37,1160,140,1,1
178,3,38,1160,170,3,1
179,3,39,1160,180,4,1
180,3,40,1160,190,4,1
181,3,41,1160,200,4,1
182,3,42,1160,210,4,1
183,3,43,1160,220,4,1
184,3,44,1160,230,4,1
185,3,45,1160,240,1,1
186,3,46,1160,280,3,1
187,3,47,1160,290,4,1
188,3,48,1160,300,4,1
189,3,49,1160,310,4,1
190,3,50,1160,320,4,1
191,3,51,1160,330,4,1
192,3,52,1160,340,4,1
193,3,53,1160,350,1,1
194,3,54,1160,380,3,1
195,3,55,1160,390,4,1
196,3,56,1160,400,4,1
197,3,57,1160,410,4,1
198,3,58,1160,420,4,1
199,3,59,1160,430,4,1
200,3,60,1160,440,1,1
201,4,1,1140,440,1,1
202,4,2,1140,430,2,1
203,4,3,1140,420,2,1
204,4,4,1140,410,2,1
205,4,5,1140,400,2,1
206,4,6,1140,390,2,1
207,4,7,1140,380,3,1
208,4,8,1140,350,1,1
209,4,9,1140,340,2,1
210,4,10,1140,330,2,1
211,4,11,1140,320,2,1
212,4,12,1140,310,2,1
213,4,13,1140,300,2,1
214,4,14,1140,290,2,1
215,4,15,1140,280,3,1
216,4,16,1140,240,1,1
217,4,17,1140,230,2,1
218,4,18,1140,220,2,1
219,4,19,1140,210,2,1
220,4,20,1140,200,2,1
221,4,21,1140,190,2,1
222,4,22,1140,180,2,1
223,4,23,1140,170,3,1
224,4,24,1140,140,1,1
225,4,25,1140,130,2,1
226,4,26,1140,120,2,1
227,4,27,1140,110,2,1
228,4,28,1140,100,2,1
229,4,29,1140,90,2,1
230,4,30,1140,80,3,1
231,4,31,1130,80,3,1
232,4,32,1130,90,4,1
233,4,33,1130,100,4,1
234,4,34,1130,110,4,1
235,4,35,1130,120,4,1
236,4,36,1130,130,4,1
237,4,37,1130,140,1,1
238,4,38,1130,170,3,1
239,4,39,1130,180,4,1
240,4,40,1130,190,4,1
241,4,41,1130,200,4,1
242,4,42,1130,210,4,1
243,4,43,1130,220,4,1
244,4,44,1130,230,4,1
245,4,45,1130,240,1,1
246,4,46,1130,280,3,1
247,4,47,1130,290,4,1
248,4,48,1130,300,4,1
249,4,49,1130,310,4,1
250,4,50,1130,320,4,1
251,4,51,1130,330,4,1
252,4,52,1130,340,4,1
253,4,53,1130,350,1,1
254,4,54,1130,380,3,1
255,4,55,1130,390,4,1
256,4,56,1130,400,4,1
257,4,57,1130,410,4,1
258,4,58,1130,420,4,1
259,4,59,1130,430,4,1
260,4,60,1130,440,1,1
261,5,1,1110,440,1,1
262,5,2,1110,430,2,1
263,5,3,1110,420,2,1
264,5,4,1110,410,2,1
265,5,5,1110,400,2,1
266,5,6,1110,390,2,1
267,5,7,1110,380,3,1
268,5,8,1110,350,1,1
269,5,9,1110,340,2,1
270,5,10,1110,330,2,1
271,5,11,1110,320,2,1
272,5,12,1110,310,2,1
273,5,13,1110,300,2,1
274,5,14,1110,290,2,1
275,5,15,1110,280,3,1
276,5,16,1110,240,1,1
277,5,17,1110,230,2,1
278,5,18,1110,220,2,1
279,5,19,1110,210,2,1
280,5,20,1110,200,2,1
281,5,21,1110,190,2,1
282,5,22,1110,180,2,1
283,5,23,1110,170,3,1
284,5,24,1110,140,1,1
285,5,25,1110,130,2,1
286,5,26,1110,120,2,1
287,5,27,1110,110,2,1
288,5,28,1110,100,2,1
289,5,29,1110,90,2,1
290,5,30,1110,80,3,1
291,5,31,1100,80,3,1
292,5,32,1100,90,4,1
293,5,33,1100,100,4,1
294,5,34,1100,110,4,1
295,5,35,1100,120,4,1
296,5,36,1100,130,4,1
297,5,37,1100,140,1,1
298,5,38,1100,170,3,1
299,5,39,1100,180,4,1
300,5,40,1100,190,4,1
301,5,41,1100,200,4,1
302,5,42,1100,210,4,1
303,5,43,1100,220,4,1
304,5,44,1100,230,4,1
305,5,45,1100,240,1,1
306,5,46,1100,280,3,1
307,5,47,1100,290,4,1
308,5,48,1100,300,4,1
309,5,49,1100,310,4,1
310,5,50,1100,320,4,1
311,5,51,1100,330,4,1
312,5,52,1100,340,4,1
313,5,53,1100,350,1,1
314,5,54,1100,380,3,1
315,5,55,1100,390,4,1
316,5,56,1100,400,4,1
317,5,57,1100,410,4,1
318,5,58,1100,420,4,1
319,5,59,1100,430,4,1
320,5,60,1100,440,1,1
321,6,1,1080,440,1,1
322,6,2,1080,430,2,1
323,6,3,1080,420,2,1
324,6,4,1080,410,2,1
325,6,5,1080,400,2,1
326,6,6,1080,390,2,1
327,6,7,1080,380,3,1
328,6,8,1080,350,1,1
329,6,9,1080,340,2,1
330,6,10,1080,330,2,1
331,6,11,1080,320,2,1
332,6,12,1080,310,2,1
333,6,13,1080,300,2,1
334,6,14,1080,290,2,1
335,6,15,1080,280,3,1
336,6,16,1080,240,1,1
337,6,17,1080,230,2,1
338,6,18,1080,220,2,1
339,6,19,1080,210,2,1
340,6,20,1080,200,2,1
341,6,21,1080,190,2,1
342,6,22,1080,180,2,1
343,6,23,1080,170,3,1
344,6,24,1080,140,1,1
345,6,25,1080,130,2,1
346,6,26,1080,120,2,1
347,6,27,1080,110,2,1
348,6,28,1080,100,2,1
349,6,29,1080,90,2,1
350,6,30,1080,80,3,1
351,6,31,1070,80,3,1
352,6,32,1070,90,4,1
353,6,33,1070,100,4,1
354,6,34,1070,110,4,1
355,6,35,1070,120,4,1
356,6,36,1070,130,4,1
357,6,37,1070,140,1,1
358,6,38,1070,170,3,1
359,6,39,1070,180,4,1
360,6,40,1070,190,4,1
361,6,41,1070,200,4,1
362,6,42,1070,210,4,1
363,6,43,1070,220,4,1
364,6,44,1070,230,4,1
365,6,45,1070,240,1,1
366,6,46,1070,280,3,1
367,6,47,1070,290,4,1
368,6,48,1070,300,4,1
369,6,49,1070,310,4,1
370,6,50,1070,320,4,1
371,6,51,1070,330,4,1
372,6,52,1070,340,4,1
373,6,53,1070,350,1,1
374,6,54,1070,380,3,1
375,6,55,1070,390,4,1
376,6,56,1070,400,4,1
377,6,57,1070,410,4,1
378,6,58,1070,420,4,1
379,6,59,1070,430,4,1
380,6,60,1070,440,1,1
381,7,1,1050,440,1,1
382,7,2,1050,430,2,1
383,7,3,1050,420,2,1
384,7,4,1050,410,2,1
385,7,5,1050,400,2,1
386,7,6,1050,390,2,1
387,7,7,1050,380,3,1
388,7,8,1050,350,1,1
389,7,9,1050,340,2,1
390,7,10,1050,330,2,1
391,7,11,1050,320,2,1
392,7,12,1050,310,2,1
393,7,13,1050,300,2,1
394,7,14,1050,290,2,1
395,7,15,1050,280,3,1
396,7,16,1050,240,1,1
397,7,17,1050,230,2,1
398,7,18,1050,220,2,1
399,7,19,1050,210,2,1
400,7,20,1050,200,2,1
401,7,21,1050,190,2,1
402,7,22,1050,180,2,1
403,7,23,1050,170,3,1
404,7,24,1050,140,1,1
405,7,25,1050,130,2,1
406,7,26,1050,120,2,1
407,7,27,1050,110,2,1
408,7,28,1050,100,2,1
409,7,29,1050,90,2,1
410,7,30,1050,80,3,1
411,7,31,1040,80,3,1
412,7,32,1040,90,4,1
413,7,33,1040,100,4,1
414,7,34,1040,110,4,1
415,7,35,1040,120,4,1
416,7,36,1040,130,4,1
417,7,37,1040,140,1,1
418,7,38,1040,170,3,1
419,7,39,1040,180,4,1
420,7,40,1040,190,4,1
421,7,41,1040,200,4,1
422,7,42,1040,210,4,1
423,7,43,1040,220,4,1
424,7,44,1040,230,4,1
425,7,45,1040,240,1,1
426,7,46,1040,280,3,1
427,7,47,1040,290,4,1
428,7,48,1040,300,4,1
429,7,49,1040,310,4,1
430,7,50,1040,320,4,1
431,7,51,1040,330,4,1
432,7,52,1040,340,4,1
433,7,53,1040,350,1,1
434,7,54,1040,380,3,1
435,7,55,1040,390,4,1
436,7,56,1040,400,4,1
437,7,57,1040,410,4,1
438,7,58,1040,420,4,1
439,7,59,1040,430,4,1
440,7,60,1040,440,1,1
441,8,1,1020,440,1,1
442,8,2,1020,430,2,1
443,8,3,1020,420,2,1
444,8,4,1020,410,2,1
445,8,5,1020,400,2,1
446,8,6,1020,390,2,1
447,8,7,1020,380,3,1
448,8,8,1020,350,1,1
449,8,9,1020,340,2,1
450,8,10,1020,330,2,1
451,8,11,1020,320,2,1
452,8,12,1020,310,2,1
453,8,13,1020,300,2,1
454,8,14,1020,290,2,1
455,8,15,1020,280,3,1
456,8,16,1020,240,1,1
457,8,17,1020,230,2,1
458,8,18,1020,220,2,1
459,8,19,1020,210,2,1
460,8,20,1020,200,2,1
461,8,21,1020,190,2,1
462,8,22,1020,180,2,1
463,8,23,1020,170,3,1
464,8,24,1020,140,1,1
465,8,25,1020,130,2,1
466,8,26,1020,120,2,1
467,8,27,1020,110,2,1
468,8,28,1020,100,2,1
469,8,29,1020,90,2,1
470,8,30,1020,80,3,1
471,8,31,1010,80,3,1
472,8,32,1010,90,4,1
473,8,33,1010,100,4,1
474,8,34,1010,110,4,1
475,8,35,1010,120,4,1
476,8,36,1010,130,4,1
477,8,37,1010,140,1,1
478,8,38,1010,170,3,1
479,8,39,1010,180,4,1
480,8,40,1010,190,4,1
481,8,41,1010,200,4,1
482,8,42,1010,210,4,1
483,8,43,1010,220,4,1
484,8,44,1010,230,4,1
485,8,45,1010,240,1,1
486,8,46,1010,280,3,1
487,8,47,1010,290,4,1
488,8,48,1010,300,4,1
489,8,49,1010,310,4,1
490,8,50,1010,320,4,1
491,8,51,1010,330,4,1
492,8,52,1010,340,4,1
493,8,53,1010,350,1,1
494,8,54,1010,380,3,1
495,8,55,1010,390,4,1
496,8,56,1010,400,4,1
497,8,57,1010,410,4,1
498,8,58,1010,420,4,1
499,8,59,1010,430,4,1
500,8,60,1010,440,1,1
501,9,1,980,440,1,1
502,9,2,980,430,2,1
503,9,3,980,420,2,1
504,9,4,980,410,2,1
505,9,5,980,400,2,1
506,9,6,980,390,2,1
507,9,7,980,380,3,1
508,9,8,980,350,1,1
509,9,9,980,340,2,1
510,9,10,980,330,2,1
511,9,11,980,320,2,1
512,9,12,980,310,2,1
513,9,13,980,300,2,1
514,9,14,980,290,2,1
515,9,15,980,280,3,1
516,9,16,980,240,1,1
517,9,17,980,230,2,1
518,9,18,980,220,2,1
519,9,19,980,210,2,1
520,9,20,980,200,2,1
521,9,21,980,190,2,1
522,9,22,980,180,2,1
523,9,23,980,170,3,1
524,9,24,980,140,1,1
525,9,25,980,130,2,1
526,9,26,980,120,2,1
527,9,27,980,110,2,1
528,9,28,980,100,2,1
529,9,29,980,90,2,1
530,9,30,980,80,3,1
531,9,31,970,80,3,1
532,9,32,970,90,4,1
533,9,33,970,100,4,1
534,9,34,970,110,4,1
535,9,35,970,120,4,1
536,9,36,970,130,4,1
537,9,37,970,140,1,1
538,9,38,970,170,3,1
539,9,39,970,180,4,1
540,9,40,970,190,4,1
541,9,41,970,200,4,1
542,9,42,970,210,4,1
543,9,43,970,220,4,1
544,9,44,970,230,4,1
545,9,45,970,240,1,1
546,9,46,970,280,3,1
547,9,47,970,290,4,1
548,9,48,970,300,4,1
549,9,49,970,310,4,1
550,9,50,970,320,4,1
551,9,51,970,330,4,1
552,9,52,970,340,4,1
553,9,53,970,350,1,1
554,9,54,970,380,3,1
555,9,55,970,390,4,1
556,9,56,970,400,4,1
557,9,57,970,410,4,1
558,9,58,970,420,4,1
559,9,59,970,430,4,1
560,9,60,970,440,1,1
561,10,1,950,440,1,1
562,10,2,950,430,2,1
563,10,3,950,420,2,1
564,10,4,950,410,2,1
565,10,5,950,400,2,1
566,10,6,950,390,2,1
567,10,7,950,380,3,1
568,10,8,950,350,1,1
569,10,9,950,340,2,1
570,10,10,950,330,2,1
571,10,11,950,320,2,1
572,10,12,950,310,2,1
573,10,13,950,300,2,1
574,10,14,950,290,2,1
575,10,15,950,280,3,1
576,10,16,950,240,1,1
577,10,17,950,230,2,1
578,10,18,950,220,2,1
579,10,19,950,210,2,1
580,10,20,950,200,2,1
581,10,21,950,190,2,1
582,10,22,950,180,2,1
583,10,23,950,170,3,1
584,10,24,950,140,1,1
585,10,25,950,130,2,1
586,10,26,950,120,2,1
587,10,27,950,110,2,1
588,10,28,950,100,2,1
589,10,29,950,90,2,1
590,10,30,950,80,3,1
591,10,31,940,80,3,1
592,10,32,940,90,4,1
593,10,33,940,100,4,1
594,10,34,940,110,4,1
595,10,35,940,120,4,1
596,10,36,940,130,4,1
597,10,37,940,140,1,1
598,10,38,940,170,3,1
599,10,39,940,180,4,1
600,10,40,940,190,4,1
601,10,41,940,200,4,1
602,10,42,940,210,4,1
603,10,43,940,220,4,1
604,10,44,940,230,4,1
605,10,45,940,240,1,1
606,10,46,940,280,3,1
607,10,47,940,290,4,1
